#-----------------------------------------------------------------------------#
# Catalogue for use with ITI validation workflow.
#-----------------------------------------------------------------------------#

# Type 1 = Gaussian Features
# type, amp, x_frac, y_frac, sig_x_pix, sig_y_pix, pa_deg

1,36.03503668782196,0.09076755,0.09537332,34.977292900881466,33.10963012638584,30.310966865589837
1,26.270884627688595,0.10862482,0.3037426,36.16736770758759,16.58318467221703,1.6964217804468085
1,48.32468631103723,0.09173077,0.50646675,35.12659893937529,33.7867808306903,113.80868557066862
1,24.67299841905124,0.09562241,0.7080846,21.422705741116587,17.741147472940856,175.3829398902102
1,49.77196123930265,0.09083883,0.8968664,34.4495096891384,14.384797170643088,30.582985709305987
1,33.08581154555403,0.29494253,0.09213093,39.17359173232742,18.357522473648206,114.09056036919513
1,46.418534088305705,0.29142568,0.30383176,25.680234464873912,18.849524514774437,111.184390642516
1,36.425457587721276,0.29984024,0.50482494,39.91637492140942,24.641020502347914,134.92192814939688
1,28.032468913794986,0.30824947,0.7046511,38.91020738360164,25.548985692228733,24.42399698804305
1,25.35483458379877,0.29549998,0.8957489,44.879481465715756,23.671963542797013,77.05278384337024
1,31.080304379832807,0.49122882,0.09333713,24.83587794135212,18.182243536213765,8.995733287414504
1,45.54361075650922,0.50758284,0.29477978,45.47446556799837,17.440663966839036,1.3451622492140625
1,27.005991871952354,0.49810636,0.5026025,26.650123395720257,20.488733522959517,150.3996356754451
1,21.98860771214194,0.5063712,0.69001466,24.190593210362824,14.437317432184864,132.1069659741482
1,27.30532283815988,0.50268,0.90256107,41.73586487990788,21.674569796149548,63.468255279121884
1,47.15223183682171,0.69818836,0.090303086,25.811930188820245,14.002294060755132,79.38928759898951
1,26.06834975914679,0.7005313,0.303655,40.7750605453484,27.970512286394108,64.82136349628769
1,40.38341245061147,0.6994836,0.5076339,36.99518013245905,27.699253522607208,4.55037010071031
1,22.879303654697942,0.6914625,0.69393927,47.48388649305169,24.77763859899384,94.47008106127726
1,25.24493153816383,0.70276487,0.9036266,32.92658640341231,15.615211645676043,3.910288080930706
1,32.01797141983236,0.8920494,0.10204046,43.12640056747742,26.64355560475936,39.744159145139385
1,43.50980586092258,0.9034885,0.3060771,29.61988415606684,12.94849904540185,71.33327356208144
1,34.8128645126486,0.9053347,0.49609917,42.56703271024102,38.81828292450109,60.859633449699174
1,46.74225797581926,0.9097476,0.70651,49.39243874956055,25.523652786766135,8.153809568326611
1,29.16021288463685,0.904182,0.90778446,48.16599278568206,44.840477519194415,115.94855150844892
